MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata	simulate	LD	nDerived
94	RDPdfFullHet	RDPdfFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
95	RDPdfHugHet	RDPdfHugHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
96	RDPdfHugFullHet	RDPdfHugFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
103	ORDPdMS	ORDPdMS	TRUE	FALSE	FALSE	FALSE	1	0	1	TRUE	FALSE	FALSE	0
104	CRDMSOHug	CRDMSOHug	TRUE	TRUE	FALSE	FALSE	1	0	1	TRUE	FALSE	FALSE	0
105	CRDMSOHet	CRDMSOHet	TRUE	TRUE	FALSE	FALSE	2	0	1	TRUE	FALSE	FALSE	0
106	CRDMSOFHet	CRDMSOFHet	TRUE	TRUE	FALSE	FALSE	2	0	1	TRUE	FALSE	FALSE	0
107	OccupHet	OccupHet	FALSE	FALSE	TRUE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps
108	RDOccupHetPE	RDOccupHetPE	TRUE	FALSE	TRUE	TRUE	2	-1	1	FALSE	TRUE	FALSE	ngrps*(nprimy-1)*3
109	RDOccupHetPG	RDOccupHetPG	TRUE	FALSE	TRUE	TRUE	2	-1	1	FALSE	TRUE	FALSE	ngrps*(nprimy-1)*3
110	RDOccupHetEG	RDOccupHetEG	TRUE	FALSE	TRUE	TRUE	2	-1	1	FALSE	TRUE	FALSE	ngrps*(nprimy+(nprimy-1)*2)
111	OccupRNPoisson	OccupRNPoisson	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE	FALSE	FALSE	ngrps*2
112	OccupRNNegBin	OccupRNNegBin	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE	FALSE	FALSE	ngrps*2
113	2SpecOccup	2SpecOccup	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE	FALSE	FALSE	ngrps
114	LogitNormalMR	LogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps*noccas
115	PoissonMR	PoissonMR	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE	FALSE	FALSE	noccasddnumderivedpar
116	MSOccupancy	MSOccupancy	FALSE	FALSE	TRUE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps
117	OccupRPoisson	OccupRPoisson	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE	FALSE	FALSE	ngrps*2
118	OccupRNegBin	OccupRNegBin	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE	FALSE	FALSE	ngrps*2
119	ORDMSState	ORDMSState	TRUE	FALSE	FALSE	TRUE	1	0	1	TRUE	FALSE	FALSE	ngrps*nprimy*nstrta*5+ngrps*noccas*nstrta
120	IELogitNormalMR	IELogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps*noccas*2
121	RDMSMisClass	RDMSMisClass	TRUE	TRUE	FALSE	FALSE	2	0	1	TRUE	FALSE	FALSE	0
123	MultScalOcc	MultScalOcc	TRUE	FALSE	TRUE	FALSE	1	0	1	FALSE	FALSE	FALSE	0
124	RDMSOccRepro	RDMSOccRepro	TRUE	FALSE	TRUE	TRUE	1	0	1	TRUE	FALSE	FALSE	ngrps*((nstrta+1)*(nstrta+1)*(nprimy-1)+(nstrta+2)*nprimy)
125	RDMSOccupancy	RDMSOccupancy	TRUE	FALSE	TRUE	TRUE	1	0	1	TRUE	FALSE	FALSE	0
126	RDMSOpenMisClass	RDMSOpenMisClass	TRUE	FALSE	FALSE	TRUE	2	0	1	TRUE	FALSE	FALSE	ngrps*nprimy*nstrta*5+ngrps*noccas*nstrta
127	Densitypc	Densitypc	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps
128	DensityHet	DensityHet	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps
129	DensityFHet	DensityFHet	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps
130	CJSMixture	CJSMixture	FALSE	FALSE	FALSE	FALSE	2	-1	1	FALSE	FALSE	FALSE	0
131	PradSenMix	PradSenMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE	FALSE	FALSE	ngrps*(noccas-1)*2
132	PradLambdaMix	PradLambdaMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE	FALSE	FALSE	ngrps*(noccas-1)*2
133	PradelRecMix	PradelRecMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE	FALSE	FALSE	ngrps*(noccas-1)*2
134	LinkBarkMix	LinkBarkMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE	FALSE	FALSE	ngrps*(noccas-1)*2
135	CJSRandom	CJSRandom	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE	TRUE	FALSE	0
136	LinkBarkRan	LinkBarkRan	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps*(noccas-1)*2
137	2SpecConOccup	2SpecConOccup	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE	FALSE	FALSE	ngrps*3
138	BurnhamLDRE	BurnhamLDRE	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE	FALSE	TRUE	0
139	PMDead	PMDead	FALSE	FALSE	FALSE	FALSE	2	0	2	FALSE	FALSE	FALSE	0
140	REDead	REDead	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE	FALSE	TRUE	0
141	RD2SpGEConOcc	RD2SpGEConOcc	TRUE	FALSE	TRUE	TRUE	1	-1	2	FALSE	FALSE	FALSE	ngrps*nprimy*9
142	RDMSOpenMCSeas	RDMSOpenMCSeas	TRUE	FALSE	FALSE	TRUE	1	0	1	TRUE	FALSE	FALSE	ngrps*nstrta*nprimy*7+ngrps*nstrta*noccas
